source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,Fe_H,Fe_H_error,E_BV,E_BV_error,Distance_modulus,Distance_modulus_error,NA
5357194420074609408,157.56642501952496,-53.11777201316899,RRab,0.5016459544979227,0.10070633,0.00083599513,0.02862791,0.00049229513,0.0068785204,0.0010856724,4.459902,0.04321146,3.1625257,0.086979866,-0.1813608894634709,0.4495635447488903,0.3894,0.0281,14.060302649049772,0.576291198916427,
5350636005017720064,159.12360370792578,-59.02246553244519,RRab,0.4625770937369581,0.16075684,0.009220374,0.056621917,0.008037325,0.03541658,0.005988938,4.663459,0.11200849,3.2621205,0.35649434,0.1290903997598823,0.5343409920243144,2.7406,0.7118,10.431772088067232,1.8434989532242327,
5351350137830893696,160.4010026565522,-56.74974280646578,RRab,0.4797779812562298,0.14938474,0.013276125,0.059894785,0.010201756,0.020434504,0.008632706,4.206239,0.20099506,2.670588,0.4585141,-0.5224150759720753,0.6046086149588754,1.221,0.0698,12.93676522127218,0.683379610311813,
5353795211163335936,160.8066961792763,-55.048945616791,RRab,0.4740184582674983,0.14821675,0.0019413629,0.06039156,0.0025047138,0.029716186,0.0027614743,4.477419,0.037309207,2.8711188,0.09335032,-0.3019507713846153,0.4224488989864888,0.6595,0.0409,13.48956321598769,0.5984882709811666,
5350847381815151232,162.49183179777006,-58.616861131067886,RRab,0.4043852725529487,0.21245366,0.006382559,0.09569048,0.007512583,0.045816343,0.0062625133,4.3836374,0.103650026,2.6071663,0.20148197,-0.1636019406688657,0.4410585132451566,0.6611,0.1152,16.764882943387285,0.6486410904478921,
5340430235017277568,165.00212032653104,-58.0022339815282,RRab,0.323422846338153,0.29829982,0.013400837,0.16628088,0.008368143,0.12341977,0.020379134,3.9906144,0.07411934,2.156381,0.124974236,-0.1379986571767492,0.3818267914712693,1.0016,0.0644,13.80609102400949,0.5663488107134231,
5338086896535299200,165.6904847965379,-60.50267794712292,RRab,0.4893542991811546,0.122136034,0.0025799603,0.036557417,0.00253752,0.01373301,0.002282555,4.4026933,0.06608889,3.612022,0.22207643,0.3093843195445923,0.4968630186410609,2.0318,0.3058,8.885355590527514,0.9453320051604296,
5236533563053586048,175.44152597897275,-65.3923533437187,RRab,0.3786969897657641,0.30320466,0.013749292,0.13886149,0.013471645,0.07553253,0.0097045675,4.2218046,0.07754623,2.219682,0.19639675,-0.3852672131999907,0.4160894854606358,1.2946,0.0248,13.496725219695998,0.5877532275217333,
5236095167152294656,177.66586869092396,-67.09642750840568,RRab,0.3540146919531534,0.32425827,0.010816338,0.1516639,0.0117645515,0.07889438,0.011109705,4.0310507,0.079213716,1.7981148,0.17365846,-0.6445536283400014,0.3877613653791925,0.5366,0.0227,12.6607744159352,0.6270760348846447,
5341271082206872704,179.77647444774482,-60.30514281656879,RRab,0.327778395819699,0.2614104,0.0060659475,0.13954456,0.006429607,0.067880824,0.0064903926,4.1652966,0.03268781,2.4221091,0.05927147,0.0876124572006707,0.3820309891264503,0.9278,0.0197,9.011656711983813,0.5457595211726152,
6058495474924838656,180.77002610672545,-61.45290328163829,RRab,0.3882671337846968,0.28898492,0.011302617,0.14523472,0.010599378,0.07659234,0.011259426,4.0457277,0.059500616,1.932545,0.17334414,-0.708290292505067,0.3996105831505941,2.2231,0.1157,12.23215168190142,0.700344494773488,
6058261863115569920,184.5333816985531,-60.64803735428838,RRab,0.4734085743274704,0.12250618,0.0008791556,0.040972166,0.0010723437,0.016592989,0.001714116,4.4054723,0.04496654,3.0644455,0.08235669,-0.1168388175174607,0.4338489977510053,1.2454,0.049,11.89351446890489,0.5765476212096148,
5860918836115687936,188.13241732481896,-65.71015297145371,RRab,0.4129692863211027,0.20996487,0.0041225343,0.10264555,0.004760221,0.06359665,0.005351633,4.422152,0.063318074,2.615415,0.07035387,-0.2034894390821197,0.4011875057201699,1.086,0.0551,13.699541042942991,0.5759209506586506,
5861524495236828800,191.09630176898204,-65.74756979110458,RRab,0.2968415149134674,0.28611413,0.00979884,0.12981986,0.015080439,0.059802946,0.014197558,4.2044973,0.064639196,2.463128,0.18573909,0.2978699122302563,0.4202731459644406,0.9016,0.0643,13.13613282457553,0.5808745650242821,
6060212259289438592,194.0690523025021,-58.14016797762807,RRab,0.4202099027234269,0.21017295,0.00308665,0.082372196,0.0029232563,0.034505527,0.003379916,4.4575214,0.040313903,2.8566403,0.0829627,-0.0169230781150194,0.4235263009321548,0.4605,0.0159,14.250136461872206,0.5718539997166411,
6055804798176620288,196.92050756470817,-60.84454281064336,RRab,0.460747871096797,0.14908567,0.002138977,0.066244066,0.0013019226,0.033405513,0.001488079,4.5895267,0.040089823,2.9725895,0.06764952,-0.1329165545872234,0.4243142996622744,2.0492,0.1561,11.527322435284422,0.6900641057881394,
5845134934344130176,199.28391188034627,-68.96816419785374,RRab,0.454268185015037,0.17691764,0.0014964488,0.06318696,0.0018373218,0.025729936,0.0017453206,4.4601326,0.026157256,2.6901093,0.0528427,-0.3624856848334555,0.4125622693826885,0.4952,0.0214,12.920667791753369,0.5963089412461247,
5858821792586610432,200.200873701096,-64.84345824220922,RRab,0.4644252969678066,0.12909181,0.0029564747,0.04229422,0.0034157704,0.011120873,0.0031119334,4.5037003,0.06695186,2.768484,0.22748797,-0.3451854381713269,0.4696635353273232,1.0963,0.0547,11.749985122687972,0.5995033250731276,
5844089608021904768,201.8843588998207,-70.10047972487064,RRab,0.459576402721485,0.18118976,0.0012751814,0.08130358,0.0015466803,0.038476758,0.0024298676,4.4120708,0.019336546,2.7022688,0.052932903,-0.3805163631042417,0.3964997014114457,0.3086,0.0026,12.124997981669187,0.578664177970572,
5868676749594637952,202.77498289131543,-61.02329388445482,RRab,0.4861104746001191,0.13941233,0.002315529,0.06086715,0.00248566,0.02858756,0.0021031918,4.6531234,0.03952601,3.307831,0.14039017,0.0414480059693388,0.449512490405364,1.6788,0.0604,12.643521758328584,0.5810533304172812,
5868877822822451584,204.05309464135425,-60.9097832867461,RRab,0.4817727229556958,0.10056793,0.0028384128,0.027397437,0.0027427755,0.01377455,0.003193881,4.6916122,0.1295188,3.7281532,0.1892282,0.4606253955958884,0.5123636205804395,2.6367,0.0946,10.766286689233151,0.6538023586568522,
5870957342919635712,207.3966024352988,-58.167754258680574,RRab,0.4382602601979979,0.18777628,0.007823231,0.095258966,0.013264944,0.035354972,0.010303274,4.447778,0.13798115,2.6771755,0.32236835,-0.2857994740988884,0.4996946994542914,0.6649,0.036,14.492675452747688,0.613465530406292,
5852385968694550272,209.18538667366,-64.08395181498416,RRab,0.469165198656588,0.1590476,0.0035043594,0.039872725,0.002789081,0.018076885,0.003124338,4.688097,0.05506642,3.0066621,0.13745081,-0.1476044785440636,0.4474152711569389,1.6401,0.0539,12.544370653992338,0.5900573157342758,
5852316188429354496,209.6700736878633,-64.41447586910765,RRab,0.4491021065648247,0.13721906,0.00094503566,0.053131483,0.0012190529,0.021272058,0.0012864948,4.4859767,0.025001595,2.8507452,0.04908096,-0.1828162034347767,0.4069355886158188,1.7107,0.032,11.183916336961737,0.578194049486248,
5852395898656803328,209.7174739505153,-64.03531074654549,RRab,0.4623364307906518,0.12993765,0.0027685156,0.045747183,0.002200575,0.021927552,0.0028481702,4.422183,0.059941977,3.143751,0.12107151,0.0191587491118824,0.4402068223177091,1.8472,0.0801,12.616035350248673,0.6031399264215919,
5871166628072391040,211.4839255666996,-57.7539637176555,RRab,0.4564894928405131,0.1667449,0.0038504628,0.07471828,0.0019584275,0.031639542,0.0032420026,4.4637756,0.047232132,2.8511891,0.14141789,-0.2233989312648477,0.4440302357726345,0.6814,0.0229,10.058002300754158,0.5730790478974713,
5852761520629031168,214.15539691252903,-64.8191222827223,RRab,0.4468432975736621,0.18356386,0.0025026533,0.06691552,0.0026761736,0.03205957,0.0032926914,4.5537877,0.04023191,2.995083,0.08341249,-0.0346022815338246,0.4416607340455345,1.0298,0.0406,14.107368838829473,0.5938005863363642,
5853066020958442496,216.5277128134228,-64.40753095317595,RRab,0.4529222024937489,0.17979074,0.0066325357,0.088885136,0.008783441,0.036550276,0.0072892723,4.609032,0.110036045,3.2363992,0.23253219,0.1584970241596931,0.5019437958054326,0.89,0.0403,15.276692833235288,0.5799817438082542,
5891597783156355840,218.66070421064603,-57.46667448257382,RRab,0.4831824881687279,0.14083105,0.011011909,0.05183179,0.0083015505,0.01850845,0.00786837,4.5882506,0.20703977,3.2125337,0.32637128,-0.0318811313364401,0.5406047665669265,1.4872,0.0358,13.586478516774202,0.5913915741152357,
5877718342994530816,219.849099181113,-61.04197155093545,RRab,0.2913803449098072,0.30343705,0.007403162,0.16298698,0.01204423,0.10473278,0.014238591,4.0981646,0.057805423,2.1302316,0.13305312,0.01525678975057,0.3812065156395527,4.95,0.2344,2.16809709886984,0.814624573418055,
5893088209861526400,220.7370075009764,-56.287212411070776,RRab,0.3810037675288775,0.31392908,0.019289678,0.14232786,0.018025506,0.08092543,0.016482124,3.9499574,0.12632321,2.2780206,0.24249256,-0.34323154578527,0.4425862308273046,1.0782,0.0238,14.804893632819878,0.5919680925726024,
5880702692389425920,222.79483584990064,-57.71454783549422,RRab,0.3619460860076974,0.2904013,0.032942187,0.1589169,0.029638533,0.09620017,0.036300093,3.984854,0.17120826,2.0516624,0.40845525,-0.4502381213427203,0.53876849610084,2.6047,0.0895,13.027759473975962,0.6733232944694224,
5874771823619214848,223.78975230027007,-61.79486442881215,RRab,0.4116353476016395,0.1980707,0.0020723273,0.099554755,0.00173532,0.055187136,0.0016732423,4.469109,0.01954769,2.7791638,0.03323666,-0.0421622071890989,0.4152072805686874,1.1982,0.0179,13.562645218012946,0.5660952438707729,
5880150634469217792,226.8961678377885,-57.52329118852023,RRab,0.4994638957805373,0.095843844,0.0034623777,0.028861249,0.0032029357,0.015934281,0.0028781,4.7113867,0.12829405,3.4656725,0.20742698,0.1157075284180179,0.4926568749624884,3.4921,0.2495,7.211868292042953,0.8362349780718913,
5888274577976948480,227.4188831019921,-52.63452005230396,RRab,0.453991053413357,0.17889012,0.003142136,0.081992954,0.0036242954,0.0461059,0.003549561,4.466643,0.06018767,3.0061653,0.10559154,-0.0638549644441311,0.4454394996463902,0.7211,0.0463,13.979288790044356,0.5628429658067603,
