#,source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4050300842010260736,271.56897842577905,-29.56626848629708,RRc,0.223819349458945,0.14826745,0.0022371372,0.020422852,0.0029927427,0.0071554445,0.00198043,4.586915,0.0660595,2.9557395,0.23672362,-0.62234659705939,0.3119788085768114,0.6644,0.0436,14.078646647176631,0.612377656791289,
4042760395476499712,271.652755235895,-32.97078398291433,RRc,0.2287737770032555,0.1372487,0.0054111434,0.015605026,0.007041288,0.016751353,0.008437304,4.4765077,0.332878,1.5579408,0.24998325,-0.9411526144478016,0.3068422677981008,0.4779,0.0148,14.779193332045384,0.6718417645882463,
4049039019166699136,272.0394655102099,-31.71544688897072,RRc,0.2282139089069695,0.18522698,0.0025363963,0.035578202,0.0027606748,0.015066013,0.002872827,4.640491,0.07459546,3.4877138,0.23097688,-0.6790730147455191,0.3232728534474661,0.6114,0.0186,13.861235044128748,0.6328520519160545,
4050855682912576000,272.8033441454274,-28.32863073397937,RRc,0.2317548627591488,0.14735837,0.0034450868,0.018859003,0.002899176,0.010010439,0.004643703,4.895709,0.28378692,3.5985773,0.4271839,-0.5276568369831305,0.3470188853465445,0.5069,0.0336,14.216165514355277,0.599922177784133,
4052897166762828032,276.20442730409803,-26.05841868569782,RRc,0.2413746974555194,0.1722011,0.0023862293,0.02616856,0.0029342687,0.00901067,0.0024705383,4.068506,0.0980223,2.8239295,0.3651928,-0.8562504816701355,0.3211253892206187,0.3826,0.0061,15.235515534867638,0.6527220097299259,
4107480226813709184,259.7068910464594,-28.620642408848287,RRc,0.2195128979819069,0.16357933,0.0017662994,0.027765201,0.0018408038,0.014241764,0.0017435384,4.5570297,0.05832001,2.9634576,0.14721991,-0.6523718781054846,0.3172573501016236,0.8069,0.0185,14.529483725869538,0.5996354764642909,
4061426834380546048,262.1056629617795,-27.568604911816408,RRc,0.2308499755816254,0.11987412,0.007032466,0.009406844,0.009822359,0.012322851,0.01800934,5.180494,0.56018823,4.857545,0.398857,-0.1420833644270805,0.3868221415409753,1.5525,0.0618,14.182187342039583,0.5999401441549668,
4118013994985826944,264.3804217725653,-21.40075503362904,RRc,0.2445023272098589,0.1929092,0.002430116,0.03176246,0.0036051024,0.011847935,0.0031651014,4.6051426,0.06046942,2.6094985,0.12730314,-0.9845265957721948,0.3101546622346878,0.7236,0.0188,12.307155846816215,0.67366846395635,
4041349756527140864,265.5344167621322,-35.17926078690893,RRc,0.2175655843067638,0.15046218,0.0027052807,0.026153829,0.0032415139,0.011454066,0.0038494507,4.446242,0.13144852,3.011752,0.18109919,-0.6095838928397623,0.3201323129070464,1.3476,0.0878,13.624081889995134,0.6671166896843927,
5962392935998706944,265.5472867649505,-37.16482304408043,RRc,0.2364026772008998,0.16554448,0.0021223696,0.028388565,0.0023809047,0.008273306,0.0024955894,4.682414,0.08254566,3.0543213,0.35855377,-0.7815341613956841,0.3299948232128442,1.1954,0.0223,14.219484165190794,0.6516410640234884,
